,Borough,Neighborhood,latitude,longitude
0, West Delhi,Adarsh Nagar,28.614192,77.071541
1,North West Delhi,Ashok Vihar,28.699453,77.184826
2,North West Delhi,Begum Pur,28.725503,77.058371
3,North West Delhi,Karala ,28.73514,77.032511
4,North West Delhi,Model Town,28.702714,77.193991
5,North West Delhi,Narela ,28.84261,77.091835
6,North West Delhi,Pitam Pura,28.703268,77.13225
7,North West Delhi,Shalimar Bagh,28.717453,77.150867
8,North Delhi,Civil Lines,28.676851,77.22503
9,North Delhi,Gulabi Bagh,28.669649,77.194726
10,North Delhi,Kamla Nagar,28.680344,77.202129
11,North Delhi,Kashmiri Gate,28.669977,77.232059
12,North Delhi,Kotwali ,28.641926,77.22175
13,North Delhi,Mori Gate; Delhi,28.664203,77.223739
14,North Delhi,Sadar Bazaar,28.661164,77.211712
15,North Delhi,Sarai Rohilla,28.667873,77.190267
16,North Delhi,Shakti Nagar,28.67979,77.194914
17,North Delhi,Shastri Nagar.,28.670089,77.181859
18,North Delhi,Tis Hazari,28.667163,77.216631
19,North Delhi,Timarpur ,28.701263,77.21868
20,North Delhi,Wazirabad ,28.433762,77.087757
21,North East Delhi,Dilshad Garden,28.675826,77.321516
22,North East Delhi,Naveen Shahdara,28.677339,77.286016
23,North East Delhi,Shahdara ,28.673333,77.289025
24,North East Delhi,Shastri Park,28.668434,77.25053
25,North East Delhi,Yamuna Vihar,28.700372,77.272773
26,Central Delhi,Chandni Chowk,28.643483,77.222742
27,Central Delhi,Daryaganj ,28.64609,77.243048
28,Central Delhi,Jhandewalan ,28.644319,77.199917
29,Central Delhi,Karol Bagh,28.652998,77.189023
30,Central Delhi,Kishanganj ,28.662744,77.197908
31,Central Delhi,Paharganj ,28.641926,77.22175
32,New Delhi,Barakhamba Road,28.627399,77.228894
33,New Delhi,Chanakyapuri ,28.594678,77.188521
34,New Delhi,Connaught Place,28.631383,77.219792
35,New Delhi,Gole Market,28.633719,77.205627
36,New Delhi,INA Colony,28.577281,77.212649
37,New Delhi,Laxmibai Nagar,28.575419,77.205109
38,New Delhi,Pragati Maidan,28.623475,77.242528
39,East Delhi,East Vinod Nagar,28.622766,77.307504
40,East Delhi,Jhilmil Colony,28.669814,77.307283
41,East Delhi,Laxmi Nagar,28.630553,77.277575
42,East Delhi,Mayur Vihar,28.613107,77.295722
43,East Delhi,Pandav Nagar,28.650024,77.153676
44,East Delhi,Preet Vihar,28.641441,77.295259
45,East Delhi,Anand Vihar,28.641115,77.312502
46,East Delhi,Vasundhara Enclave,28.601726,77.321122
47,East Delhi,Vishwas Nagar,28.66447,77.291741
48,East Delhi,Vivek Vihar,28.669164,77.312267
49,South Delhi,Alaknanda ,28.529336,77.251632
50,South Delhi,Chattarpur ,28.49714,77.181251
51,South Delhi,Chittaranjan Park,28.538752,77.249249
52,South Delhi,Defence Colony,28.571222,77.231776
53,South Delhi,East of Kailash,28.557032,77.244614
54,South Delhi,Govindpuri ,28.641926,77.22175
55,South Delhi,Greater Kailash,28.559157,77.246018
56,South Delhi,Green Park,28.555537,77.202497
57,South Delhi,Gulmohar Park,28.557101,77.213006
58,South Delhi,Hauz Khas,28.544256,77.206707
59,South Delhi,Hauz Khas Village,28.553855,77.194713
60,South Delhi,Jangpura ,28.583041,77.239317
61,South Delhi,Jor Bagh,28.588239,77.216528
62,South Delhi,Kalkaji ,28.641926,77.22175
63,South Delhi,Khanpur ,28.512798,77.232395
64,South Delhi,Lajpat Nagar,28.579261,77.244032
65,South Delhi,Lodi Colony,28.590702,77.220921
66,South Delhi,Malviya Nagar,28.53392,77.212447
67,South Delhi,Mehrauli ,28.521826,77.178323
68,South Delhi,Neeti Bagh,28.559251,77.216166
69,South Delhi,Nehru Place,28.643483,77.222742
70,South Delhi,Netaji Nagar,28.573534,77.186359
71,South Delhi,New Friends Colony,28.567101,77.269764
72,South Delhi,Nizamuddin West,28.588365,77.244955
73,South Delhi,Okhla ,28.50844,77.33886
74,South Delhi,Safdarjung Enclave,28.565642,77.193438
75,South Delhi,Sainik Farm,28.503746,77.216073
76,South Delhi,Saket ,28.524411,77.213725
77,South Delhi,Sangam Vihar,28.497702,77.239174
78,South Delhi,Sarita Vihar,28.50844,77.33886
79,South Delhi,Sarojini Nagar,28.574158,77.19537
80,South Delhi,Sarvodaya Enclave,28.537478,77.202089
81,South Delhi,Siri Fort,28.552146,77.224698
82,South Delhi,South Extension,28.568501,77.220009
83,South Delhi,Sriniwaspuri ,28.56522,77.254704
84,South Delhi,Tughlaqabad ,28.511192,77.262327
85,South Delhi,Badarpur ,28.49317,77.303024
86,South West Delhi,"Dabri, New Delhi ",28.61077,77.091106
87,South West Delhi,Delhi Cantonment,28.592593,77.122304
88,South West Delhi,Dhaula Kuan,28.591891,77.161703
89,South West Delhi,Inderpuri ,28.628684,77.147098
90,South West Delhi,Mahipalpur ,28.544485,77.125691
91,South West Delhi,Moti Bagh,28.667837,77.18181
92,South West Delhi,Munirka ,28.554886,77.171084
93,South West Delhi,Najafgarh ,28.612304,76.982391
94,South West Delhi,Naraina ,28.622055,77.138644
95,South West Delhi,Palam ,28.591893,77.082824
96,South West Delhi,Rama Krishna Puram ,28.575561,77.172303
97,South West Delhi,Vasant Kunj,28.529249,77.154134
98,South West Delhi,Vasant Vihar,28.560691,77.160791
99,West Delhi,Ashok Nagar,28.641926,77.22175
100,West Delhi,Bali Nagar,28.654138,77.128178
101,West Delhi,Fateh Nagar,28.631615,77.100878
102,West Delhi,Kirti Nagar,28.647577,77.145644
103,West Delhi,Moti Nagar,28.657859,77.142429
104,West Delhi,Paschim Vihar,28.669578,77.095956
105,West Delhi,Patel Nagar,28.659809,77.156957
106,West Delhi,Punjabi Bagh,28.668945,77.132461
107,West Delhi,Rajouri Garden,28.645112,77.123933
108,West Delhi,Tihar Village,28.634636,77.107112
109,West Delhi,Tilak Nagar,28.63965,77.094039
110,West Delhi,Vikas Nagar,28.644009,77.05447
111,West Delhi,Vikaspuri ,28.638419,77.070836
112,West Delhi,Indira Gandhi International Airport,28.554897,77.084675
113,West Delhi,New Delhi Railway Station,28.640282,77.22041
114,West Delhi,Hazrat Nizamuddin Railway Station,28.586413,77.252982
115,West Delhi,Old Delhi Railway Station,28.660905,77.227715
116,West Delhi,Kashmere Gate,28.666814,77.229055
117,West Delhi,Gurugram ,28.548798,77.120809
118,West Delhi,Ghaziabad ,28.631568,77.330733
119,West Delhi,Noida ,28.575066,77.312492
120,West Delhi,Faridabad ,28.50844,77.33886
121,West Delhi,Sonipat ,28.839305,76.925441
